ID,lineage,cell,MYC
ACH-000601,pancreas,MIAPACA2,1.128094294
ACH-000602,blood,M07E,1.545723573
ACH-000603,lung,BEN,1.220012467
ACH-000604,blood,KYO1,1.282925034
ACH-000605,esophagus,TE6,1.413904895
ACH-000606,upper_aerodigestive,PECAPJ34CLONEC12,1.379185626
ACH-000607,soft_tissue,KYM1,0.991257153
ACH-000608,ovary,COV644,1.156375711
ACH-000609,central_nervous_system,SF126,1.007318469
ACH-000610,lung,NCIH2227,0.875378737
ACH-000611,lymphocyte,SUDHL6,1.32812925
ACH-000612,lymphocyte,HUT102,1.00425626
ACH-000613,bone,HOS,0.998991852
ACH-000614,skin,RVH421,1.167380081
ACH-000615,skin,SKMEL28,1.046970575
ACH-000616,gastric,HS746T,1.348146001
ACH-000617,ovary,OVCAR4,1.657879169
ACH-000618,upper_aerodigestive,SNU1041,1.349706452
ACH-000619,upper_aerodigestive,PECAPJ15,1.131168575
ACH-000620,liver,JHH1,1.224194122
ACH-000621,breast,MDAMB157,1.775663093
ACH-000622,central_nervous_system,KNS42,0.762415589
ACH-000623,central_nervous_system,SNU201,1.091279081
ACH-000624,breast,HCC1806,1.580471337
ACH-000625,liver,HEP3B217,1.017757963
ACH-000626,plasma_cell,U266B1,1.060491312
ACH-000627,lung,LCLC103H,1.149831593
ACH-000628,lung,NCIH596,1.331447224
ACH-000630,upper_aerodigestive,YD8,1.115680541
ACH-000631,central_nervous_system,KS1,1.218203565
ACH-000632,skin,HS944T,1.054906635
ACH-000633,gastric,FU97,0.934069444
ACH-000634,central_nervous_system,LN340,1.044876974
ACH-000635,ovary,SNU119,1.960164304
ACH-000636,blood,RPMI8402,1.055642804
ACH-000637,esophagus,KYSE520,1.181787578
ACH-000638,lung,NCIH441,1.220836195
ACH-000639,lung,NCIH211,2.098879426
ACH-000640,skin,SKMEL31,1.171486179
ACH-000641,blood,CMK,0.854373138
ACH-000642,engineered_breast,HMEL,1.04394969
ACH-000643,breast,HDQP1,1.615225686
ACH-000644,skin,COLO829,1.044501356
ACH-000645,lung,JL1,1.276147513
ACH-000646,ovary,OVMANA,0.867604913
ACH-000647,esophagus,TE1,1.175819548
ACH-000648,lung,NCIH28,0.833125482
ACH-000649,kidney,786O,1.393180709
ACH-000650,skin,IGR37,1.136394203
ACH-000651,colorectal,SW620,2.366826478
ACH-000652,pancreas,SUIT2,1.154861767
ACH-000653,plasma_cell,JJN3,1.668829931
ACH-000654,lymphocyte,RAJI,0.980483816
ACH-000655,central_nervous_system,SF268,1.193711277
ACH-000656,lymphocyte,SUDHL8,0.95593375
ACH-000657,ovary,A2780,0.991513111
ACH-000658,plasma_cell,KMS18,1.321530631
ACH-000659,lung,SCLC21H,3.650056347
ACH-000660,lymphocyte,SUDHL5,1.003541837
ACH-000661,skin,WM1799,1.310671848
ACH-000662,lung,CORL23,3.711448592
ACH-000663,ovary,OVTOKO,1.126567893
ACH-000664,lymphocyte,SUDHL1,0.788149265
ACH-000665,lung,SKMES1,1.056569347
ACH-000666,lung,NCIH1355,1.156345938
ACH-000667,lung,HCC44,2.998388447
ACH-000668,breast,HCC70,1.436783765
ACH-000669,lung,SW900,1.081863944
ACH-000670,lung,SBC5,1.182088449
ACH-000671,liver,HUH6,1.254833815
ACH-000672,lung,IALM,1.670871301
ACH-000673,central_nervous_system,LN443,1.109836936
ACH-000674,gastric,NUGC4,0.947246227
ACH-000675,lung,NCIH1734,1.061897377
ACH-000676,central_nervous_system,LN464,1.142562124
ACH-000677,lung,SW1573,1.13361586
ACH-000678,gastric,MKN7,1.685279891
ACH-000679,esophagus,OE19,1.717568652
ACH-000680,colorectal,SW948,0.966080856
ACH-000681,lung,A549,1.210702754
ACH-000682,upper_aerodigestive,SNU1066,1.488405021
ACH-000683,colorectal,SNU503,1.283507675
ACH-000684,kidney,KMRC1,1.074582435
ACH-000685,pancreas,L33,1.325325857
ACH-000686,liver,SNU878,1.031009256
ACH-000687,lymphocyte,CI1,0.994044344
ACH-000688,ovary,OV7,0.951165554
ACH-000689,soft_tissue,RH18,1.157421953
ACH-000690,lung,HCC2814,1.307658009
ACH-000691,breast,HCC2157,1.386210624
ACH-000692,upper_aerodigestive,SNU899,0.997766232
ACH-000693,esophagus,KYSE180,1.299892336
ACH-000694,esophagus,TE9,2.834282889
ACH-000695,lung,CORL47,1.036346621
ACH-000696,ovary,OVCAR8,1.620123309
ACH-000697,lymphocyte,A3KAW,0.982067849
ACH-000698,lung,DMS53,1.311376267
ACH-000699,breast,HCC1395,1.64031147
ACH-000700,lung,NCIH2882,1.549942517
ACH-000701,ovary,RMUGS,1.058859256
ACH-000702,lymphocyte,L1236,1.165847348
ACH-000703,lung,DMS79,1.383980912
ACH-000704,ovary,OAW42,1.354592859
ACH-000705,lung,LC1F,1.245883946
ACH-000706,lung,EKVX,1.090957536
ACH-000707,lymphocyte,P3HR1,1.004055183
ACH-000708,colorectal,SNU283,1.069995721
ACH-000709,kidney,KMRC2,1.08426306
ACH-000710,lung,NCIH854,1.433630214
ACH-000711,breast,JIMT1,1.383903808
ACH-000713,ovary,CAOV3,0.973218783
ACH-000714,plasma_cell,KMS11,1.207975757
ACH-000715,upper_aerodigestive,SNU1214,1.310710645
ACH-000716,thyroid,TT2609C02,1.051383669
ACH-000717,esophagus,COLO680N,1.2209207
ACH-000718,lung,NCIH2291,1.220163144
ACH-000719,ovary,RMGI,0.94990125
ACH-000720,urinary_tract,TCCSUP,0.986961457
ACH-000721,breast,HMC18,1.279460272
ACH-000722,colorectal,SNUC1,1.298732878
ACH-000723,upper_aerodigestive,YD10B,1.112349825
ACH-000724,urinary_tract,HT1376,1.191665979
ACH-000725,breast,HCC202,1.487308568
ACH-000726,esophagus,TE14,1.261278271
ACH-000727,lung,NCIH2066,1.184769954
ACH-000728,blood,KASUMI2,0.990794061
ACH-000729,lung,NCIH1963,0.96131255
ACH-000730,skin,SKMEL5,1.23051205
ACH-000731,lung,HCC2279,1.673191992
ACH-000732,upper_aerodigestive,PECAPJ41CLONED2,1.301630637
ACH-000733,lung,NCIH1838,1.23600622
ACH-000734,liver,JHH5,1.123471032
ACH-000735,upper_aerodigestive,PECAPJ49,1.329955619
ACH-000736,gastric,SNU601,1.292649241
ACH-000737,lung,NCIH1385,1.455581428
ACH-000738,central_nervous_system,GB1,1.233373568
ACH-000739,liver,HEPG2,0.946000037
ACH-000740,upper_aerodigestive,A253,1.412439783
ACH-000741,urinary_tract,UBLC1,1.278523721
ACH-000742,fibroblast,DM3,1
ACH-000743,lung,CORL95,1.049218952
ACH-000744,lung,NCIH1623,1.362444379
ACH-000745,plasma_cell,MOLP8,1.009646033
ACH-000746,gastric,GSS,1.070529441
ACH-000747,lung,NCIH1703,1.2249464
ACH-000748,bone,SJSA1,0.967302637
ACH-000749,lung,DMS273,4.981988467
ACH-000750,skin,LOXIMVI,1.26249033
ACH-000751,blood,OCIM1,1.36741298
ACH-000752,lung,NCIH196,1.197823866
ACH-000753,urinary_tract,JMSU1,0.983395665
ACH-000754,lymphocyte,L428,1.265629672
ACH-000755,breast,HCC2218,1.583230354
ACH-000756,central_nervous_system,GI1,1.428465619
ACH-000757,lung,A427,0.993709275
ACH-000758,gastric,MKN74,1.744347167
ACH-000759,breast,MDAMB175VII,1.248699042
ACH-000760,central_nervous_system,LNZ308,1.375838155
ACH-000761,gastric,NUGC2,1.512941003
ACH-000762,upper_aerodigestive,YD38,1.229217912
ACH-000763,plasma_cell,MM1S,0.983236044
ACH-000764,gastric,SH10TC,1.392523749
ACH-000765,skin,WM983B,1.361577427
ACH-000766,lung,NCIH1648,1.261783644
ACH-000767,lung,NCIH526,1.277589359
ACH-000768,breast,MDAMB231,1.136067171
ACH-000769,lung,LK2,1.260197419
ACH-000770,blood,P31FUJ,0.955168952
ACH-000771,upper_aerodigestive,BICR56,1.307686618
ACH-000772,soft_tissue,TE441T,1.238148656
ACH-000773,lymphocyte,KIJK,1.059260219
ACH-000774,lung,RERFLCAD2,1.211715096
ACH-000775,lung,NCIH727,1.270199414
ACH-000776,central_nervous_system,ONS76,1.286261089
ACH-000777,esophagus,KYSE30,1.353030215
ACH-000778,upper_aerodigestive,HSC3,1.095488878
ACH-000779,lung,PC9,1.249015875
ACH-000780,lung,NCIH1105,1.232080971
ACH-000781,lung,NCIH2023,1.240780241
ACH-000782,blood,SEM,1.011734337
ACH-000783,breast,CAMA1,1.487053825
ACH-000784,esophagus,KYSE70,1.308945214
ACH-000785,lung,NCIH2126,1.253924241
ACH-000786,lymphocyte,DAUDI,1.004858152
ACH-000787,lung,LXF289,1.406808767
ACH-000788,skin,A2058,1.214388864
ACH-000789,lung,NCIH810,1.560387027
ACH-000790,lung,SHP77,1.243281925
ACH-000791,lung,RERFLCAD1,1.093297879
ACH-000792,kidney,BFTC909,1.170390009
ACH-000793,gastric,KATOIII,1.058402773
ACH-000794,upper_aerodigestive,BICR22,1.258512914
ACH-000795,blood,MOLT13,0.992523474
ACH-000796,ovary,MCAS,1.07627918
ACH-000797,fibroblast,HLFA,0.999655041
ACH-000798,colorectal,CL40,0.99031175
ACH-000799,skin,HS695T,1.167974338
ACH-000800,lung,NCIH446,3.472088883
ACH-000801,skin,HS936T,0.999524578
ACH-000802,urinary_tract,BFTC905,2.295912868
ACH-000803,lung,COLO668,0.951594819
ACH-000804,peripheral_nervous_system,NB1,0.896628207
ACH-000805,skin,COLO679,0.985929293
ACH-000806,lymphocyte,L540,0.98168278
ACH-000807,central_nervous_system,SNU738,1.066118436
ACH-000808,bile_duct,HUH28,1.200513018
ACH-000809,esophagus,KYSE410,1.35876441
ACH-000810,skin,SKMEL30,1.004174522
ACH-000811,ovary,SKOV3,1.027726923
ACH-000812,skin,COLO783,1.45474285
ACH-000813,lung,T3M10,1.312353286
ACH-000814,skin,HS939T,0.995355002
ACH-000815,lymphocyte,KMH2,1.032122846
ACH-000816,lung,NCIH524,6.066588507
ACH-000817,plasma_cell,RPMI8226,1.054806016
ACH-000818,breast,BT483,1.4578508
ACH-000819,central_nervous_system,LN18,0.892844091
ACH-000820,colorectal,SW403,1.283221342
ACH-000821,plasma_cell,EJM,1.042058226
ACH-000822,skin,SKMEL24,0.982949956
ACH-000823,esophagus,KYSE140,1.293630082
ACH-000824,esophagus,KYSE510,3.062464347
ACH-000825,lung,HOP92,1.22464431
ACH-000826,lung,CAL12T,1.132978687
ACH-000827,skin,WM793,1.175871942
ACH-000828,breast,ZR7530,2.186966754
ACH-000829,plasma_cell,HUNS1,1.050063069
ACH-000830,lung,NCIH1436,1.253488768
ACH-000831,uterus,HEC50B,1.489787183
ACH-000832,upper_aerodigestive,CAL27,1.030072537
ACH-000833,soft_tissue,RH30,0.933700116
ACH-000834,urinary_tract,UMUC1,1.240794086
ACH-000835,soft_tissue,GCT,1.046972123
ACH-000836,upper_aerodigestive,YD15,1.278300963
ACH-000837,lung,NCIH322,1.43274865
ACH-000838,plasma_cell,AMO1,1.070148119
ACH-000839,urinary_tract,SCABER,1.336617257
ACH-000840,lung,HCC366,1.09874862
ACH-000841,lung,NCIH2087,2.043856129
ACH-000842,colorectal,SW480,2.195535522
ACH-000843,lung,HARA,1.394722108
ACH-000844,lung,DMS454,1.314601986
ACH-000845,lung,NCIH1373,1.297374567
ACH-000846,upper_aerodigestive,FADU,1.512360908
ACH-000847,gastric,HGC27,3.548720204
ACH-000848,liver,JHH7,1.027150512
ACH-000849,breast,MDAMB468,0.957797916
ACH-000850,fibroblast,HS698T,0.982655518
ACH-000851,lung,MORCPR,1.455475313
ACH-000852,lung,NCIH1435,1.531194787
ACH-000853,lung,NCIH661,0.905167027
ACH-000854,plasma_cell,OCIMY5,1.528790332
ACH-000855,esophagus,KYSE150,0.990942085
ACH-000856,breast,CAL51,0.999414147
ACH-000857,breast,CAL851,1.148627642
ACH-000858,lung,KNS62,1.083858054
ACH-000859,breast,HCC1954,1.836460237
ACH-000860,lung,NCIH358,1.418191028
ACH-000861,lung,HOP62,1.215949407
ACH-000862,urinary_tract,KMBC2,0.956088778
ACH-000863,central_nervous_system,DBTRG05MG,0.877912888
ACH-000864,uterus,COLO684,1.421624033
ACH-000865,esophagus,KYSE450,2.735180526
ACH-000866,lung,NCIH1048,1.017458034
ACH-000867,lung,CHAGOK1,1.383689917
ACH-000868,lung,HCC1195,1.66489693
ACH-000869,lung,NCIH1568,1.387677958
ACH-000870,lung,NCIH1930,1.211885648
ACH-000871,lung,NCIH510,1.896176118
ACH-000872,lung,HCC515,1.032517718
ACH-000873,esophagus,KYSE270,1.179509776
ACH-000874,blood,RS411,1.266156264
ACH-000875,lung,NCIH2347,1.285476201
ACH-000876,breast,MDAMB415,1.185104094
ACH-000877,lymphocyte,EB1,0.992469784
ACH-000878,lung,HCC15,1.026150612
ACH-000879,uterus,MFE296,1.009276935
ACH-000880,gastric,AGS,0.992937339
ACH-000881,skin,MELJUSO,1.295064112
ACH-000882,skin,IGR1,0.925364873
ACH-000883,central_nervous_system,SW1783,1.098075216
ACH-000884,skin,MDAMB435S,1.321393044
ACH-000885,ovary,TOV21G,0.997216666
ACH-000886,lung,NCIH2009,1.258343439
ACH-000887,central_nervous_system,SF172,1.608121315
ACH-000888,lung,NCIH1793,1.061830103
ACH-000889,plasma_cell,KMM1,1.040008663
ACH-000890,lung,SW1271,0.781716073
ACH-000891,lung,HCC1438,0.824998014
ACH-000892,lung,NCIH1563,1.294164307
ACH-000893,lung,NCIH1651,1.411864954
ACH-000894,lung,NCIH1869,1.295188159
ACH-000895,colorectal,CL34,1.00956073
ACH-000896,urinary_tract,647V,1.186107503
ACH-000897,thyroid,FTC238,1.488159176
ACH-000898,gastric,SNU719,0.95777125
ACH-000899,skin,WM88,0.93466867
ACH-000900,lung,NCIH23,1.877629222
ACH-000901,lung,HCC1359,1.534808661
ACH-000902,breast,CAL148,1.022295366
ACH-000903,thyroid,FTC133,1.105148367
ACH-000904,lung,NCIH2106,1.054543586
ACH-000905,urinary_tract,5637,0.987522429
ACH-000906,ovary,ES2,1.190068018
ACH-000907,kidney,SNU349,0.966192115
ACH-000908,gastric,SNU520,1.272570891
ACH-000909,uterus,JHUEM2,0.961350987
ACH-000910,breast,MDAMB453,1.282744029
ACH-000911,gastric,NUGC3,1.198557015
ACH-000912,lung,NCIH2286,1.026734915
ACH-000913,uterus,ESS1,0.993727178
ACH-000914,lymphocyte,HT,1.011363243
ACH-000915,skin,IPC298,1.036680561
ACH-000916,lung,NCIH1573,1.139062759
ACH-000917,esophagus,TE4,1.832462711
ACH-000918,blood,MOLT16,0.990415064
ACH-000919,gastric,IM95,1.250526881
ACH-000920,blood,CMLT1,1.208419246
ACH-000921,lung,NCIH1339,1.321029882
ACH-000922,blood,RCHACV,1.230494475
ACH-000923,lymphocyte,BCP1,1.173245787
ACH-000924,lung,NCIH2172,1.230284801
ACH-000925,lung,DV90,1.291873449
ACH-000926,colorectal,HT55,1.045180829
ACH-000927,breast,BT474,1.389017712
ACH-000928,uterus,JHUEM1,1.063696899
ACH-000929,lung,NCIH2110,1.582878707
ACH-000930,breast,HCC1569,1.54196973
ACH-000931,skin,HMCB,1.332174575
ACH-000932,gastric,SNU1,0.991275012
ACH-000933,pancreas,SNU324,0.998375404
ACH-000934,breast,MDAMB361,1.234587769
ACH-000935,colorectal,MDST8,1.010219119
ACH-000936,ovary,EFO27,1.016340846
ACH-000937,blood,PF382,1.02279816
ACH-000938,blood,NALM6,0.988994295
ACH-000939,soft_tissue,SKUT1,1.009088424
ACH-000940,uterus,AN3CA,1.046266833
ACH-000941,uterus,HEC1B,1.091318675
ACH-000942,blood,HPBALL,1.006700163
ACH-000943,colorectal,RKO,1.44788225
ACH-000944,lymphocyte,NAMALWA,0.989428026
ACH-000945,lung,NCIH650,1.108670308
ACH-000946,uterus,HEC265,0.993343437
ACH-000947,ovary,OVK18,0.996538143
ACH-000948,gastric,2313287,1.699220237
ACH-000949,gastric,TGBC11TKB,0.91735812
ACH-000950,colorectal,LOVO,0.893447799
ACH-000951,lung,NCIH2342,1.857638289
ACH-000952,prostate,MDAPCA2B,1.436932564
ACH-000953,blood,SUPT1,0.968655551
ACH-000954,uterus,HEC1A,0.981677328
ACH-000955,colorectal,SNU407,1.303876584
ACH-000956,prostate,22RV1,0.992226049
ACH-000957,colorectal,LS180,0.977358477
ACH-000958,colorectal,SW48,0.983090794
ACH-000959,colorectal,SNUC4,1.004622915
ACH-000960,blood,REH,0.998900392
ACH-000961,uterus,ISHIKAWAHERAKLIO02ER,0.998101246
ACH-000962,ovary,OC314,0.994781506
ACH-000963,colorectal,CCK81,1.004934945
ACH-000964,blood,MOLT3,1.261542248
ACH-000965,uterus,RL952,1.249126123
ACH-000966,ovary,IGROV1,1.073074363
ACH-000967,colorectal,SNUC2A,0.999465094
ACH-000968,skin,COLO792,0.877118593
ACH-000969,colorectal,KM12,1.197313741
ACH-000970,colorectal,SNUC5,0.97478824
ACH-000971,colorectal,HCT116,1.260125045
ACH-000972,uterus,HEC151,0.999189699
ACH-000973,urinary_tract,639V,1.221132811
ACH-000974,uterus,SNGM,1.155851539
ACH-000975,lung,HCC2450,1.392062936
ACH-000976,bile_duct,HUCCT1,1.20938973
ACH-000977,prostate,LNCAPCLONEFGC,1.031648563
ACH-000978,uterus,EN,1.015724489
ACH-000979,prostate,DU145,1.100692443
ACH-000980,lung,NCIH1155,1.238981855
ACH-000981,blood,DND41,1.017424538
ACH-000982,colorectal,GP2D,1.000300049
ACH-000983,blood,KCL22,1.513548351
ACH-000984,uterus,HEC6,1.083131656
ACH-000985,colorectal,LS411N,1.057809991
ACH-000986,colorectal,HT115,0.910973065
ACH-000987,skin,MEWO,1.03504742
ACH-000988,uterus,MFE319,0.997855066
ACH-000989,colorectal,SNU175,0.992759731
ACH-000990,uterus,HEC108,1.081790229
ACH-000991,colorectal,SNU81,1.014853008
ACH-000992,upper_aerodigestive,BICR18,1.243986463
ACH-000993,uterus,JHUEM7,1.003614469
ACH-000994,uterus,HEC59,1.093711604
ACH-000995,blood,JURKAT,1.077601919
ACH-000996,uterus,HEC251,0.996565619
ACH-000997,colorectal,HCT15,0.990028698
ACH-000998,colorectal,CW2,0.99804729
ACH-000999,colorectal,SNU1040,1.006468947
ACH-001000,central_nervous_system,1321N1,1.12595984
ACH-001001,bone,143B,1.070990326
ACH-001002,skin,451LU,1.796717766
ACH-001015,gastric,AZ521,1.002502347
ACH-001016,central_nervous_system,BECKER,1.106885628
ACH-001017,gastric,BGC823,1.275834273
ACH-001018,fibroblast,BJHTERT,1.000349811
ACH-001020,soft_tissue,BT16,1.024052962
ACH-001021,liver,C3A,0.947215868
ACH-001022,bone,CBAGPN,1.313171538
ACH-001023,thyroid,CGTHW1,1.191472953
ACH-001024,skin,CHL1,1.367156882
ACH-001028,soft_tissue,CHLA06ATRT,1.091940122
ACH-001029,bone,CHLA10,1.231273875
ACH-001030,bone,CHLA218,1.495608189
ACH-001031,soft_tissue,CHLA266,1.057780884
ACH-001032,bone,CHLA32,1.57041484
ACH-001033,bone,CHLA57,1.236839742
ACH-001034,bone,CHLA9,1.369406178
ACH-001035,bone,CHLA99,1.413211154
ACH-001036,blood,CMK115,0.87616777
ACH-001037,blood,CMK86,0.995656583
ACH-001038,bone,COGE352,1.511362275
ACH-001039,colorectal,COLO205,1.182952849
ACH-001041,lung,COLO699,1.41790435
ACH-001042,ovary,COLO704,1.272256152
ACH-001043,plasma_cell,COLO775,1.359042629
ACH-001044,skin,COLO818,1.098178999
ACH-001045,skin,COLO849,1.110266348
ACH-001047,lung,CORL51,1.061508021
ACH-001048,ovary,COV504,1.48729185
ACH-001049,lung,CPCN,4.709519485
ACH-001050,soft_tissue,CW9019,1.13605945
ACH-001053,central_nervous_system,D425,5.753071235
ACH-001054,central_nervous_system,D458,6.829205175
ACH-001057,lymphocyte,DERL2,1.298528115
ACH-001059,soft_tissue,DL,1.022756977
ACH-001060,lymphocyte,DL40,0.804838069
ACH-001061,colorectal,DLD1,0.994659948
ACH-001063,ovary,DOV13,0.969484211
ACH-001064,lymphocyte,EB2,1.066855898
ACH-001065,breast,EVSAT,2.118647107
ACH-001066,bone,EWS834,1.461802509
ACH-001067,central_nervous_system,F5,1.358972325
ACH-001068,lymphocyte,FEPD,1.001095311
ACH-001071,lung,GLC82,1.073271151
ACH-001072,skin,GRM,2.245724736
ACH-001075,lung,NCIH292,1.001387926
ACH-001079,lung,HCC1897,1.252255781
ACH-001081,colorectal,HCC2998,0.975559609
ACH-001086,cervix,HELA,1.29023447
ACH-001087,engineered_kidney,HK2,1.069549572
ACH-001088,lung,HLC1,1.177759645
ACH-001089,liver,HLE,1.013367209
ACH-001090,upper_aerodigestive,HN,1.36021424
ACH-001091,colorectal,HRT18,0.984385408
ACH-001092,ovary,HS571T,1.178373644
ACH-001093,fibroblast,HS604T,1.00882246
ACH-001094,plasma_cell,HTK,1.173245787
ACH-001096,soft_tissue,JR,1.245049581
ACH-001097,lymphocyte,KARPAS384,0.992887104
ACH-001098,pancreas,KCIMOH1,1.265470503
ACH-001099,soft_tissue,KD,1.014726632
ACH-001100,lymphocyte,KHYG,2.154253961
ACH-001101,pancreas,KLM1,1.4329375
ACH-001106,blood,KOPN8,0.994620054
ACH-001107,pancreas,KP1N,1.144946957
ACH-001111,lymphocyte,L82,1.64949682
ACH-001113,lung,LC1SQSF,1.472923374
ACH-001118,central_nervous_system,M059J,1.105287854
ACH-001119,lymphocyte,MAC2A,1.026488474
ACH-001121,lymphocyte,MEC2,0.981964193
ACH-001125,central_nervous_system,MOGGCCM,1.086761351
ACH-001126,central_nervous_system,MOGGUVW,1.165278461
ACH-001127,blood,MOLT4,1.101980124
ACH-001128,soft_tissue,MON,1.038763455
ACH-001129,blood,MONOMAC1,1.19740748
ACH-001130,lymphocyte,MOTN1,1.292868897
ACH-001132,lymphocyte,MTA,0.991599084
ACH-001134,lymphocyte,MYLA,1.048649122
ACH-001136,lung,NCIH187,1.123990584
ACH-001137,lung,NCIH1993,1.556359272
ACH-001138,lung,NCIH2141,1.142270959
ACH-001142,engineered_central_nervous_system,NHAHTDD,1.003203552
ACH-001143,lymphocyte,NKL,1.013291449
ACH-001145,ovary,OC316,1.032365372
ACH-001146,lymphocyte,OCILY10,0.999550098
ACH-001147,lymphocyte,OCILY12,0.999180244
ACH-001148,lymphocyte,OCILY132,1.237388112
ACH-001150,bone,OUMS27,1.188672473
ACH-001151,ovary,OVCAR5,1.475717869
ACH-001162,plasma_cell,PCM6,1.009821542
ACH-001163,kidney,CCLFPEDS0001T,1.136937483
ACH-001164,soft_tissue,CCLFPEDS0003T,1.064830439
ACH-001171,pancreas,PL45,1.233086136
ACH-001172,central_nervous_system,R256,1.112895973
ACH-001173,central_nervous_system,R262,0.921473731
ACH-001175,kidney,RCC4,1.097166459
ACH-001182,unknown,RPMI6666,1.003951176
ACH-001183,urinary_tract,RT11284,1.366987974
ACH-001184,soft_tissue,SCMCRM2,1.010711103
ACH-001188,peripheral_nervous_system,SHSY5Y,0.963523101
ACH-001189,soft_tissue,SJRH30,0.871042376
ACH-001190,skin,SKMEL2,0.986342777
ACH-001192,bone,SKNEP1,1.293820116
ACH-001193,bone,SKPNDW,4.261416478
ACH-001194,kidney,SKRC31,1.042868428
ACH-001196,soft_tissue,SMSCTR,0.989621594
ACH-001197,lymphocyte,SMZ1,1.003747578
ACH-001198,central_nervous_system,SNB19,1.092115406
ACH-001199,colorectal,SNUC2B,0.997717294
ACH-001200,soft_tissue,STM9101,1.356529229
ACH-001201,central_nervous_system,SUMB002,5.069502481
ACH-001203,lymphocyte,SUPHD1,0.999364641
ACH-001205,bone,TC32,1.279994196
ACH-001206,bone,TTC466,1.23709498
ACH-001207,fibroblast,TIG3TD,1.004657429
ACH-001208,kidney,TK10,1.239936889
ACH-001211,soft_tissue,TTC549,1.01160584
ACH-001212,soft_tissue,TTC642,1.288200256
ACH-001214,central_nervous_system,U138MG,1.117367241
ACH-001224,kidney,UMRC2,1.175250567
ACH-001225,kidney,UMRC6NEO,1.462835508
ACH-001228,upper_aerodigestive,UPCISCC152,1.325833086
ACH-001229,upper_aerodigestive,UPCISCC154,1.388847313
ACH-001230,blood,UT7,0.904300963
ACH-001232,central_nervous_system,UW228,0.967373965
ACH-001233,lung,VMRCLCD,1.123987275
ACH-001234,lung,VMRCLCP,1.154090605
ACH-001239,skin,WM2664,0.911025085
ACH-001249,breast,YMB1,1.177201528
ACH-001270,soft_tissue,127399,1.09993611
ACH-001274,soft_tissue,SW982,1.283707278
ACH-001275,soft_tissue,SYO1,1.376140326
ACH-001277,soft_tissue,YAMATO,1.55819464
ACH-001278,ovary,BIN67,1.034136816
ACH-001279,ovary,SCCOHT1,1.005553146
ACH-001280,soft_tissue,SCS214,1.241667538
ACH-001282,bone,CHLA258,0.993863593
ACH-001283,bone,TC106,1.377797868
ACH-001289,soft_tissue,COGAR359,1.042666048
ACH-001295,eye,Y79,1.001028996
ACH-001300,peripheral_nervous_system,CHLA15,1.276803336
ACH-001301,peripheral_nervous_system,COGN278,1.044010049
ACH-001302,peripheral_nervous_system,COGN305,1.07505131
ACH-001303,peripheral_nervous_system,NB1643,0.996305726
ACH-001306,thyroid,8305C,1.001021788
ACH-001307,thyroid,8505C,1.138274504
ACH-001310,engineered_kidney,HA1E,1.020517136
ACH-001318,liver,PLCPRF5,1.041642507
ACH-001321,thyroid,TT,1.610037612
ACH-001322,soft_tissue,CME1,1.35445611
ACH-001328,skin,A431,1.133758152
ACH-001329,central_nervous_system,ANGMCSS,1.049735307
ACH-001331,upper_aerodigestive,BICR10,1.567363396
ACH-001332,upper_aerodigestive,BICR78,1.064185472
ACH-001333,cervix,C33A,1.026339031
ACH-001334,cervix,C4I,1.302689293
ACH-001335,cervix,C4II,1.206551959
ACH-001336,cervix,CASKI,1.49335067
ACH-001338,peripheral_nervous_system,CHP134,0.985304633
ACH-001339,skin,COLO794,0.976209936
ACH-001340,ovary,COV413A,1.473111505
ACH-001341,cervix,DOTC24510,1.229432263
ACH-001344,peripheral_nervous_system,GIMEN,0.974432616
ACH-001345,colorectal,GP5D,1.009686126
ACH-001346,upper_aerodigestive,H103,1.087100934
ACH-001347,upper_aerodigestive,H157,1.213252706
ACH-001350,thyroid,HTCC3,1.311769891
ACH-001353,pancreas,JOPACA1,1.433278902
ACH-001354,peripheral_nervous_system,LAN2,0.741982403
ACH-001355,peripheral_nervous_system,LAN6,0.997714332
ACH-001356,thyroid,MB1,1.091847396
ACH-001358,breast,MDAMB330,1.195769635
ACH-001359,cervix,ME180,1.391266208
ACH-001360,cervix,MS751,1.299010736
ACH-001362,lung,NCIH1770,0.967072523
ACH-001363,lung,NCIH2135,1.125233837
ACH-001364,lung,NCIH345,1.272219119
ACH-001365,lung,NCIH847,2.670348404
ACH-001366,peripheral_nervous_system,NGP,0.993092095
ACH-001367,peripheral_nervous_system,NMB,0.931365062
ACH-001368,esophagus,OACM51,1.351073644
ACH-001369,ovary,OCIC5X,1.024987675
ACH-001370,ovary,OCIP5X,1.522831232
ACH-001373,ovary,OV17R,0.783801854
ACH-001374,ovary,PA1,1.021184051
ACH-001375,pancreas,PACADD119,0.995526922
ACH-001376,pancreas,PACADD135,0.999320691
ACH-001377,pancreas,PACADD137,1.360150736
ACH-001378,pancreas,PACADD159,1.089771342
ACH-001379,pancreas,PACADD161,2.448696158
ACH-001380,pancreas,PACADD165,1.031275908
ACH-001382,pancreas,PACADD188,1.405232159
ACH-001383,prostate,PWR1E,1.450289603
ACH-001384,thyroid,RO82W1,1.179249239
ACH-001385,upper_aerodigestive,RPMI2650,0.993090645
ACH-001386,lung,SCLC22H,4.814516073
ACH-001388,breast,SUM102PT,0.93194684
ACH-001389,breast,SUM1315MO2,1.182743776
